#OTU ID	1xHFWxCD	2xHFWxHFD	3xHFWxCD	4xHFWxHFD	5xHFWxCD	6xHFWxHFD	7xHFWxCD	8xHFWxHFD	9xHFWxCD	10xHFWxHFD	11xHFWxHFD	12xHFWxCD	13xSPFxCD	14xSPFxCD	15xSPFxCD	16xSPFxCD	17xSPFxCD	18xSPFxCD	19xSPFxHFD	20xSPFxHFD	21xSPFxHFD	22xSPFxHFD	23xSPFxHFD	24xSPFxHFD
Zotu268	0	13	0	20	0	7	0	43	0	11	16	0	0	2	0	0	0	0	5	2	0	1	1	1
Zotu298	0	12	0	30	0	8	0	0	0	2	52	0	0	0	0	0	0	0	0	1	0	0	0	0
Zotu126	0	5	0	9	0	66	0	12	7	157	125	1	1	0	0	0	0	0	8	78	76	51	36	49
Zotu311	0	12	0	9	0	14	0	7	0	0	1	0	5	0	0	1	7	2	1	9	0	0	7	1
Zotu373	0	2	0	5	0	6	0	11	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
Zotu270	0	2	0	27	0	18	0	0	0	0	26	0	1	0	0	0	0	0	0	31	0	0	0	8
Zotu287	0	3	0	5	0	3	0	2	0	3	8	0	0	0	0	0	0	0	21	12	27	21	3	14
Zotu352	0	5	0	3	0	9	1	2	1	4	3	0	9	1	5	0	2	2	10	2	0	0	14	1
Zotu349	0	2	0	5	0	1	4	3	0	3	2	1	0	2	0	5	2	4	0	0	2	2	3	0
Zotu326	0	7	0	4	7	5	1	2	1	6	0	4	3	9	16	1	0	6	0	10	0	0	7	0
Zotu348	0	6	0	1	0	0	0	1	1	2	7	2	4	5	0	6	6	5	2	2	8	2	3	3
Zotu239	0	10	1	6	2	11	4	4	23	2	2	48	9	2	3	3	3	8	1	5	2	1	5	0
Zotu363	0	1	2	2	1	2	1	0	1	1	6	1	1	0	2	2	5	1	1	7	1	1	0	1
Zotu310	0	4	0	4	0	4	0	3	2	8	14	5	0	0	0	0	0	0	3	1	5	1	2	1
Zotu375	0	7	0	1	0	0	0	8	0	2	6	0	0	0	0	0	0	0	3	3	0	0	2	3
Zotu360	0	1	0	1	0	5	0	3	0	4	2	0	0	0	0	0	0	0	5	1	6	8	1	1
Zotu247	0	2	0	5	0	4	0	2	0	2	7	1	6	6	5	12	8	5	25	6	21	13	9	34
Zotu330	0	1	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	36	0	0	17	0
Zotu271	0	1	3	2	0	0	0	0	0	0	0	2	7	69	10	10	64	4	1	4	0	0	0	0
Zotu253	0	5	0	5	0	4	0	8	1	5	5	3	1	7	2	10	11	8	1	5	11	4	5	9
Zotu305	0	2	0	2	0	7	0	6	0	0	0	2	0	0	0	0	0	0	4	2	1	19	2	1
Zotu347	0	1	0	0	0	0	0	0	0	0	0	0	4	0	9	0	2	25	0	1	0	0	1	0
Zotu345	0	3	0	2	0	13	0	10	0	2	0	1	1	0	0	0	1	0	3	2	0	1	5	6
