Zotu59	d:Fungi(1.0000),p:Ascomycota(0.6300),c:Leotiomycetes(0.0882),o:Helotiales(0.0123),f:Myxotrichaceae(0.0015),g:Oidiodendron(0.0002)	+	d:Fungi
Zotu60	d:Fungi(1.0000),p:Ascomycota(0.8000),c:Xylonomycetes(0.1440),o:Symbiotaphrinales(0.0259),f:Symbiotaphrinaceae(0.0047),g:Symbiotaphrina(0.0008),s:Symbiotaphrina_buchneri_SH1641879.08FU(0.0002)	+	d:Fungi,p:Ascomycota
Zotu61	d:Fungi(1.0000),p:Ascomycota(0.6500),c:Leotiomycetes(0.0975),o:Helotiales(0.0146),f:Myxotrichaceae(0.0022),g:Oidiodendron(0.0003)	+	d:Fungi
Zotu62	d:Fungi(1.0000),p:Ascomycota(0.6300),c:Saccharomycetes(0.1386),o:Saccharomycetales(0.0305),f:Metschnikowiaceae(0.0061),g:Metschnikowia(0.0012)	+	d:Fungi
Zotu63	d:Fungi(1.0000),p:Ascomycota(0.6900),c:Saccharomycetes(0.1794),o:Saccharomycetales(0.0466),f:Metschnikowiaceae(0.0107),g:Metschnikowia(0.0025),s:Metschnikowia_lochheadii_SH3313669.08FU(0.0002)	+	d:Fungi
Zotu64	d:Fungi(1.0000),p:Ascomycota(0.6700),c:Xylonomycetes(0.0938),o:Symbiotaphrinales(0.0131),f:Symbiotaphrinaceae(0.0018),g:Symbiotaphrina(0.0003),s:Symbiotaphrina_buchneri_SH1641879.08FU(0.0000)	+	d:Fungi
Zotu65	d:Fungi(1.0000),p:Ascomycota(0.6400),c:Xylonomycetes(0.1024),o:Symbiotaphrinales(0.0164),f:Symbiotaphrinaceae(0.0026),g:Symbiotaphrina(0.0004),s:Symbiotaphrina_buchneri_SH1641879.08FU(0.0001)	+	d:Fungi
Zotu66	d:Fungi(1.0000),p:Ascomycota(0.6900),c:Xylonomycetes(0.0897),o:Symbiotaphrinales(0.0117),f:Symbiotaphrinaceae(0.0015),g:Symbiotaphrina(0.0002),s:Symbiotaphrina_buchneri_SH1641879.08FU(0.0000)	+	d:Fungi
Zotu67	d:Fungi(1.0000),p:Ascomycota(0.5600),c:Leotiomycetes(0.0840),o:Helotiales(0.0126),f:Myxotrichaceae(0.0015),g:Oidiodendron(0.0002)	+	d:Fungi
Zotu68	d:Fungi(1.0000),p:Ascomycota(0.7100),c:Saccharomycetes(0.2840),o:Saccharomycetales(0.1136),f:Metschnikowiaceae(0.0420),g:Metschnikowia(0.0156)	+	d:Fungi
Zotu69	d:Fungi(1.0000),p:Ascomycota(0.7300),c:Saccharomycetes(0.2920),o:Saccharomycetales(0.1168),f:Metschnikowiaceae(0.0444),g:Metschnikowia(0.0169)	+	d:Fungi
Zotu70	d:Fungi(1.0000),p:Basidiomycota(0.2300),c:Ustilaginomycetes(0.0184),o:Ustilaginales(0.0015),f:Ustilaginaceae(0.0001),g:Pseudozyma(0.0000)	+	d:Fungi
Zotu71	d:Fungi(1.0000),p:Ascomycota(0.7900),c:Leotiomycetes(0.1580),o:Helotiales(0.0316),f:Myxotrichaceae(0.0057),g:Oidiodendron(0.0010)	+	d:Fungi
Zotu72	d:Fungi(1.0000),p:Ascomycota(0.6300),c:Saccharomycetes(0.2142),o:Saccharomycetales(0.0728),f:Metschnikowiaceae(0.0226),g:Metschnikowia(0.0070)	+	d:Fungi
Zotu73	d:Fungi(1.0000),p:Ascomycota(0.7200),c:Xylonomycetes(0.1080),o:Symbiotaphrinales(0.0162),f:Symbiotaphrinaceae(0.0024),g:Symbiotaphrina(0.0004),s:Symbiotaphrina_buchneri_SH1641879.08FU(0.0001)	+	d:Fungi
